4.66939	5.28796	1.88723
3.9209	2.97421	0.499817
1.26204	2.96817	2.35478
2.5703	2.54151	0.891522
4.07538	3.56197	-1.12237
3.15269	-2.77108	-1.97586
1.03887	-2.32207	-7.0475
-1.66442	-2.29928	-3.64356
-2.99497	-5.26892	-2.17304
-4.73393	-1.35285	-1.35569
-6.03756	-0.626377	-0.517711
-5.64767	-2.13624	-3.31573
-4.14258	-0.975769	-1.14828
-5.02677	-1.35464	0.978732
-5.83326	0.0283669	-0.737917
-8.45885	-1.37258	-2.72666
-6.67306	-2.29977	-2.79716
-9.26797	-5.93225	-3.22051
-8.46383	-7.91863	-5.71482
-7.96105	-7.0051	-7.54577
-6.39959	-6.12245	-8.35391
-7.1573	-8.59748	-7.44643
-11.2307	-5.32873	-6.48333
-11.4718	-6.33412	-5.5074
-8.46792	-6.38524	-6.47584
-10.4153	-4.97923	-4.48764
-7.69549	-5.42681	-1.0537
-7.23303	-9.46021	-3.46241
-7.3633	-5.90477	-6.27916
-5.93831	-2.67616	-6.88844
-4.06434	-4.22709	-8.46061
-4.42529	-7.12652	-6.32292
-5.52681	-8.51924	-9.46282
-7.45865	-10.7951	-10.5487
-10.1111	-10.3165	-9.93878
-7.97273	-7.8225	-10.9903
-7.78349	-7.96519	-7.83231
-6.64109	-7.76029	-9.75733
-4.37398	-10.4428	-9.25141
-6.52975	-6.65449	-6.31344
-9.40929	-6.94794	-5.78694
-8.16517	-8.62557	-4.03288
-5.46767	-5.65262	-4.4015
-1.79078	-0.290029	-0.427201
-1.1253	-1.20777	0.210262
-0.239315	-1.38232	3.15951
0.431167	-2.07642	2.25758
-0.522502	-6.9317	-5.62951
-0.855467	-6.48623	-1.72794
-0.463409	-3.77088	-2.14654
-1.49444	-5.45938	-2.55963
-5.58667	-3.44087	-1.95314
-5.51394	-5.96729	-2.85902
-7.44586	-5.63471	-2.04286
-5.18864	-7.6931	-4.7905
-8.88374	-8.52385	-7.27487
-14.1905	-11.4547	-8.90092
-13.2966	-12.4577	-7.75735
-16.4993	-14.8575	-8.86847
-13.4965	-12.7459	-8.65949
-12.2616	-11.5896	-7.14562
-11.0546	-8.23801	-5.94502
-13.6895	-10.0388	-5.89748
-12.0207	-9.75799	-8.11729
-8.34596	-12.7146	-11.2693
-7.833	-13.5931	-9.53623
-11.9089	-11.8589	-11.0618
-15.7231	-11.1069	-10.2625
-13.6624	-12.5603	-11.4966
-11.4633	-11.1529	-9.54693
-13.5877	-14.2111	-9.34118
-11.875	-14.3808	-13.9506
-11.5809	-9.67468	-10.4752
-10.5398	-10.2766	-12.3991
-8.40335	-10.8823	-9.44864
-6.39541	-5.72271	-7.16736
-5.6342	-3.58602	-5.26048
-0.990665	-1.14352	-2.85501
1.24402	-1.42026	-3.22325
2.70574	-0.309544	-5.36072
4.33771	0.888672	-2.73508
-0.125446	-2.30387	-1.54382
0.098869	-1.58665	1.488
0.213709	-4.72849	-4.5291
1.62756	-4.24953	-4.62146
0.873413	0.713673	-2.77435
1.4006	0.294525	0.946756
2.7189	0.776013	2.92514
3.50752	3.45281	2.86203
2.69672	5.05621	-0.234398
0.727862	2.12845	-1.09163
-0.395752	4.33993	-1.62001
-1.8183	-0.0235148	-1.89106
-0.417108	-1.66783	-3.82943
-3.77327	-0.11522	-2.58496
-5.52164	-1.34601	-1.36132
-6.67584	-3.30907	-4.18444
-7.00596	-7.10872	-8.24646
-9.24195	-7.07674	-9.70156
-10.9312	-12.5094	-11.9662
-14.3355	-17.3806	-17.0703
-16.4347	-18.3622	-18.3682
-15.2261	-17.6267	-17.7592
-13.0508	-13.6746	-14.6722
-13.6294	-13.3312	-15.4688
-12.8686	-12.6213	-14.5806
-11.9843	-12.2437	-10.3522
-10.2581	-12.6505	-8.83168
-7.75769	-9.80254	-7.18994
-9.27173	-6.8726	-0.895758
-12.2866	-8.20029	-0.940621
-13.2366	-8.8575	-8.33703
-12.4734	-11.0954	-13.8732
-13.4124	-12.9791	-16.3646
-12.4251	-14.0119	-16.0479
-10.9558	-15.4662	-14.5802
-6.82596	-8.62525	-12.1272
-3.9618	-7.99574	-9.31043
-3.28023	-5.02993	-10.421
-3.73568	-4.44568	-8.95725
-5.76763	-6.85462	-7.92433
-6.37834	-7.44774	-5.70485
-8.96299	-6.39582	-4.04126
-7.76502	-8.78629	-2.87908
-10.6019	-9.03222	-5.39895
-9.0308	-9.66177	-6.78539
-9.24037	-6.56656	-8.62061
-12.1529	-8.21212	-8.70248
-10.3635	-8.34173	-9.39586
-6.23276	-5.96637	-5.13994
-7.1943	-7.47527	-6.57735
-6.56723	-8.46549	-7.10595
-6.01806	-9.28766	-7.16486
-7.50141	-6.53549	-10.8674
-8.3245	-7.5185	-5.94828
-6.82739	-8.33708	-7.41239
-10.5482	-11.7094	-9.55077
-13.6281	-13.2889	-10.3997
-12.3534	-13.7261	-10.6463
-13.456	-13.5479	-12.3297
-15.6101	-13.6148	-14.7243
-15.316	-11.9065	-11.4368
-15.4599	-13.5252	-10.2426
-10.7099	-11.5569	-7.47838
-9.80774	-9.85375	-7.82897
-9.44796	-6.89174	-6.20327
-10.9371	-8.50426	-4.32324
-12.3733	-10.8369	-6.35438
-5.90068	-9.36311	-4.373
-5.88008	-8.18615	-1.95812
-8.49696	-8.51199	-3.53368
-6.42551	-4.57144	-2.29049
-8.6966	-1.96091	-1.33058
-5.30656	-3.13174	-1.90988
-2.49154	-0.906106	0.599113
0.570587	1.32718	-4.03249
1.45788	2.18147	-3.08289
0.477861	-0.48937	-2.3489
-2.81436	-4.93408	-4.11625
-2.79858	-3.6821	-3.32977
-7.26295	-3.94839	-3.93574
-6.60818	-8.51103	-1.87581
-5.85231	-6.58335	-4.03708
-3.5744	-3.19827	-5.76382
-4.52693	-2.16502	-3.45002
-7.07397	-4.34111	-3.04603
-8.90627	-8.01927	-5.85095
-11.474	-8.33117	-5.67272
-7.99153	-7.04599	-8.29223
-8.70623	-6.12099	-11.3793
-6.77866	-9.16971	-9.71603
-3.23276	-9.58196	-12.3531
-5.12859	-11.6354	-10.1183
-5.17059	-7.64561	-9.86956
-8.7509	-8.0911	-9.20777
-5.15971	-4.93055	-8.05883
-4.55411	-6.61336	-5.67821
-4.13846	-2.49686	-5.93579
-5.04318	-1.75771	-3.56627
-3.26646	-2.5306	-2.82929
-5.10861	-4.50146	-3.16112
-2.72899	-5.18472	-3.13695
-3.63862	-1.04793	0.268241
-4.57108	-4.08498	-3.55652
-8.06416	-9.39377	-6.04485
-12.9571	-7.72888	-6.05509
-10.4327	-9.23784	-6.54369
-9.36304	-10.6076	-7.49004
-7.8804	-10.6955	-9.0594
-8.90272	-9.61857	-6.91741
-12.8687	-10.5356	-7.04801
-14.7535	-8.1226	-7.06598
-10.3709	-10.3932	-6.67031
-5.67636	-9.47462	-6.10807
-7.54101	-8.30519	-4.87821
-5.80828	-7.92475	-4.7831
-7.59436	-5.80787	-5.01716
-9.19556	-7.04787	-5.40758
-6.4824	-5.81647	-4.74855
-4.63446	-8.20185	-4.69429
-4.80633	-7.99479	-3.15578
-8.0767	-9.08357	-4.97095
-5.61684	-7.51001	-4.24251
-7.76247	-8.26295	-4.35
-11.5496	-7.98111	-2.77771
-8.64929	-5.51002	-5.05739
-3.06817	-1.46777	-3.99353
-6.60882	-2.63316	-4.42357
-7.07119	-5.93587	-8.14388
-11.7044	-6.65786	-6.5956
-12.8897	-8.07901	-3.51903
-8.51057	-7.78265	-6.89417
-3.39706	-6.95531	-7.02006
-4.4145	-7.67361	-6.55335
-6.78783	-5.17521	-6.77537
-6.57837	-9.09553	-8.07289
-7.57914	-8.38715	-6.98291
-10.642	-6.05915	-6.33387
-12.2088	-9.22567	-6.52561
-13.5937	-13.6821	-11.0925
-12.3981	-12.962	-9.56547
-11.3956	-14.8517	-8.85952
-8.01814	-10.8501	-9.43519
-6.11248	-8.91264	-7.98815
-6.46036	-13.3969	-9.1608
-5.36914	-11.1465	-14.8913
-8.42086	-11.4813	-9.92407
-9.4391	-10.3744	-11.3084
-11.7222	-9.9175	-14.695
-9.45894	-7.80085	-10.8291
-10.0618	-7.92449	-10.6933
-7.87649	-7.044	-11.3285
-7.63181	-6.0116	-7.76407
-8.88085	-10.491	-5.24237
-9.26883	-7.28504	-2.71721
-2.87919	-1.5003	-2.26484
-3.27135	-1.82023	-2.99895
-3.27512	-3.15596	-4.07713
-4.8687	-3.19547	-2.51749
-5.35993	-0.237806	-3.32058
-5.23464	-1.64763	-3.26492
-5.2231	-5.36547	-7.26427
-6.36259	-4.87321	-9.88621
-12.2774	-7.74454	-6.49755
-16.4992	-8.18126	-8.48272
-15.562	-12.1986	-8.03918
-12.5621	-10.8584	-8.16642
-14.2634	-10.3461	-8.31087
-13.9678	-10.1592	-7.57446
-11.3167	-9.5146	-8.87823
-7.67898	-7.48286	-7.30624
-8.95194	-6.17103	-6.06511
-8.54641	-6.06389	-5.57441
-2.46189	-0.462439	-2.12982
-3.82034	-1.84527	-5.18185
-7.67443	-2.27509	-6.25004
-5.43551	0.147219	-6.00011
-5.23515	-1.98143	-2.06213
-0.278087	-3.24528	-1.03829
-0.697293	-2.41262	-2.52719
-0.783389	-0.378684	-4.82364
-2.36126	-1.28001	-3.15552
-5.25607	-3.03214	-6.0575
-2.99215	-1.4504	-7.18263
-0.976033	-0.0676769	-0.29772
-0.312261	-1.32282	-1.74463
1.15028	-1.11705	-0.0106259
7.60432	0.0375434	-2.53949
3.24107	-0.406197	-2.25717
2.26444	-1.83389	0.142611
0.268451	0.629235	-1.18606
-1.34331	0.106847	-2.50083
2.6701	1.44954	-0.544183
2.43658	0.79398	1.58417
0.498134	0.614209	-0.149517
4.42386	-3.19254	-1.70605
4.84112	0.6007	-0.824177
3.46595	2.78891	5.00355
4.43326	3.91073	5.44218
4.65118	6.54893	4.99055
3.28755	3.97872	3.34538
-0.0698829	3.04351	3.76451
1.53421	2.902	4.35171
1.90065	5.24502	2.84227
2.35893	3.92214	4.00538
2.62769	4.22417	0.665288
2.83619	3.3142	1.70859
7.236	3.95394	1.48264
9.09151	6.60786	0.719229
5.72827	8.55696	5.56314
6.73761	6.08562	1.74884
7.80469	6.07481	-0.460003
8.38486	8.35967	-0.684241
6.18708	6.0718	1.13788
3.6421	3.41764	1.24412
5.70779	5.94689	4.38531
6.32302	7.11697	8.52177
4.09844	5.70092	7.74561
7.95839	5.19672	4.99905
7.75695	3.52105	3.84321
8.06173	6.10883	4.28404
7.26029	3.54439	4.85171
1.50343	6.15601	3.81738
1.12257	5.14938	4.20609
2.60782	3.8272	3.44543
4.39489	3.63508	-0.290793
6.81588	2.16938	-0.963091
4.02579	4.02797	2.36805
4.11451	1.86484	4.22285
5.41048	0.90772	4.84069
5.94249	4.53137	3.15612
3.08386	1.5212	0.864017
-1.48712	-1.45952	2.88174
-0.221751	1.88339	3.13616
2.9026	2.75563	6.12848
2.59496	1.38014	2.51821
3.56007	0.737398	4.86908
3.43472	1.71902	3.63661
1.18188	2.34275	2.45188
-0.375828	0.0738503	2.11712
-0.256382	-2.85448	1.47668
-2.39641	0.666415	3.13708
-1.9526	1.9802	1.47732
1.96345	0.163239	4.47386
2.23481	4.65728	3.89298
1.17776	1.06738	2.56249
-0.758552	0.436732	6.76059
2.03029	2.20694	5.07812
-0.174188	2.80095	3.01327
0.733806	6.69599	7.42161
-0.698937	4.42214	5.41155
-2.39188	-0.4117	2.30512
0.0265396	0.218407	1.23844
0.0679294	2.11734	1.12324
-1.3516	1.63809	-0.289624
-2.4033	-0.507782	-0.953135
-1.60148	0.267245	-2.39684
-4.43347	-4.24804	-5.03703
-4.07688	-8.02558	-5.48172
-4.95836	-2.71087	-4.63586
-4.06137	-2.00717	-3.83481
-2.13045	-3.23725	-4.34136
-2.58204	-3.97504	-4.25772
-1.89805	-2.5838	-1.31705
1.47657	-1.48272	-0.418056
2.7257	0.65969	1.90763
6.52629	3.40566	3.89738
6.55535	7.78093	5.24637
4.23305	6.13441	3.55606
3.29679	4.81196	3.01593
2.54859	1.89604	1.89543
0.396782	0.985929	1.16671
0.472634	-1.15954	2.21997
2.42819	2.24441	2.60405
5.5272	5.23024	3.61599
6.98544	4.08457	2.61493
7.00332	7.42475	2.40315
7.15061	5.92981	4.75214
6.6214	4.24808	5.82039
7.53073	4.44904	5.90089
7.93606	2.78463	8.9074
7.23278	3.38372	10.8607
2.81027	5.08018	10.1024
0.705812	0.251398	7.39297
1.97181	1.21274	1.60636
3.63795	1.66532	0.569004
3.01805	1.1664	-1.79945
0.146744	0.34083	-3.64123
4.95283	0.199774	0.869524
5.66935	1.03537	1.52509
0.155315	1.85705	1.1862
0.614933	1.0342	-1.801
2.27381	-0.843977	-2.21995
4.49396	-0.926887	1.00308
3.84919	-0.362025	1.21477
5.49672	1.44767	3.0173
6.74752	3.72157	3.35817
8.24204	7.02606	4.38676
8.63775	5.25491	2.70121
9.65567	7.8975	2.31324
9.24726	3.4427	0.448358
3.4338	5.74	2.18111
2.91768	3.83275	-0.513205
-1.89148	1.05924	-1.52153
-3.10145	1.35585	2.0564
0.974112	0.535954	-2.24147
-0.348409	2.37173	-2.39893
-1.45576	2.13603	-1.91545
-2.28694	1.87925	-1.04947
-0.128403	0.0932879	-4.52414
2.10025	0.864184	-1.54521
-3.05466	2.30082	-3.84535
-5.97963	0.0621922	-4.91072
-5.85719	-5.60673	-9.25452
-2.98794	-6.09966	-7.58511
-3.69323	-2.28443	-7.68109
-4.22311	-2.81035	-5.62158
-6.16733	-5.47643	-6.04499
-6.22274	-4.29267	-3.36998
-7.87571	-5.05895	-3.05989
-6.79104	-3.29027	-3.86177
-5.56247	-0.810766	-0.149092
-2.23376	-1.97067	-0.849351
-3.06026	-2.53566	-4.48259
-0.055692	-2.89082	-3.22695
-0.946858	-1.12439	-0.903625
1.52151	0.372464	0.70959
2.89017	1.74282	-1.33557
3.79668	2.42117	-0.7585
5.94912	1.66219	-0.533822
6.18526	1.77013	2.19008
3.59012	3.11641	3.17478
4.51859	0.145254	-0.0440478
1.99503	1.54968	2.39862
-0.422575	0.9056	3.99557
-0.430409	-1.2969	0.191727
1.63903	-2.52669	-3.80637
0.315873	-2.3941	-2.12341
2.36416	-0.555038	-1.28333
0.421206	-0.889898	3.29637
1.15295	2.83058	5.98868
-2.48531	-1.26093	1.60861
-2.23211	-1.70639	4.27239
-3.18265	-1.03685	4.60486
-2.73264	0.340501	3.51124
1.36545	2.94987	4.71349
-0.0634818	-0.860824	2.75668
2.38121	0.308914	2.10309
4.63697	0.136769	2.48731
2.31153	1.26168	-0.291025
4.91261	5.11593	2.83132
2.73853	4.3253	1.37651
2.14711	2.61949	-0.242528
0.12259	-2.02039	-2.49731
-1.27399	-2.49472	-6.77846
-3.99871	-1.16643	-4.31652
-4.12484	-5.31973	-6.00042
-4.11009	-3.7858	-6.53759
-3.32631	-4.14717	-7.12022
-4.13093	-2.20757	-3.69251
-3.84101	2.91293	2.89098
-1.61634	3.61553	5.54173
0.0647822	3.9135	4.98158
1.81633	3.08489	4.05163
1.46099	3.76578	1.32649
1.56543	1.80503	-1.40266
-0.261545	-0.0284634	-1.88483
0.606281	0.965228	-0.035861
-1.2088	2.69149	-0.725461
1.36225	1.02244	2.06653
-0.417756	-2.707	-0.123776
4.61164	-4.09001	-1.55579
3.41817	-1.10216	-0.325953
1.63454	-0.36087	-4.29209
3.21087	-0.575517	0.607098
4.53514	0.199524	3.40235
8.54861	3.93051	2.29213
6.68779	4.69737	1.5932
3.44181	-0.30523	0.599417
2.87435	0.191966	-2.04128
5.46303	6.32282	3.42689
4.79011	6.58211	-0.167049
7.03802	5.788	1.87662
4.91885	0.759103	-2.79014
0.933143	0.10253	0.297054
1.97416	1.94295	2.59884
6.53279	4.94884	5.07412
7.87545	6.6968	5.73237
7.8871	9.47649	6.22931
11.7703	4.81256	3.7435
8.55222	5.21636	5.6331
9.30337	4.48144	4.87446
6.97527	4.50007	7.37473
6.82631	5.11705	10.6635
9.17859	5.42464	9.1321
7.23225	8.23448	11.5301
6.71723	7.13034	9.86619
9.24293	8.03407	10.0451
9.75865	9.62094	9.84754
5.68496	8.22905	6.448
4.18058	7.25808	7.69849
5.1261	11.5382	7.4974
9.62875	14.2055	8.67564
10.2963	14.5838	7.25228
8.38115	8.70876	5.7118
7.1836	6.2219	5.83251
9.71402	12.1569	7.32183
